time,response
0,0.00
20,0.18
40,0.37
60,0.55
80,0.71
100,0.86
120,0.98
150,0.93
170,1.35
190,1.72
210,2.03
230,2.29
250,2.52
270,2.68
300,2.57
320,3.18
340,3.73
360,4.17
380,4.54
400,4.83
420,5.04
450,4.85
470,5.52
490,6.03
510,6.42
530,6.70
550,6.90
570,7.03
600,6.76
620,7.21
640,7.54
660,7.79
680,7.98
700,8.12
720,8.20
750,7.65
780,7.13
810,6.67
840,6.23
870,5.83
900,5.45
930,5.10
960,4.77
990,4.46
1020,4.18
1050,3.91
1080,3.66
1110,3.43
1140,3.21
1170,3.01
1200,2.82
1230,2.64
1260,2.48
1290,2.33
1320,2.18
